Title,Year,Genre,Director,Duration,IMDB,ID
Silent Scream,2005,Horror,Matt Cantu,90,2.9,705
Simpson The Movie,2007,Animation|Adventure|Comedy,David Silverman,87,7.3,706
Sin City,2005,Crime|Thriller,Frank Miller,124,8.0,707
Sinister,2012,Horror|Mystery|Thriller,Scott Derrickson,110,6.8,708
Sinister II,2015,Horror|Mystery|Thriller,Clarán Foy,97,5.3,709
Skeleton Key,2005,Drama|Horror|Mystery,Iain Softley,104,6.5,710
Skjult,2005,Drama|Mystery|Thriller,Michael Haneke,117,7.3,711
Skulls,2000,Action|Crime|Drama,Rob Cohen,106,5.6,712
Skycaptain And The World Of Tomorrow,2004,Action|Adventure|Mystery,Kerry Conran,106,6.0,713
Slumdog Millionaire,2008,Drama|Romance,Danny Boyle,120,8.0,714
Smoke,1995,Comedy|Drama,Wayne Wang,112,7.4,715
Snabba Cash I,2010,Action|Crime|Drama,Daniel Espinosa,124,6.7,716
Snabba Cash II,2012,Action|Crime|Drama,Babak Najafi,99,6.3,717
Snabba Cash III - Livet Deluxe,2013,Action|Crime|Drama,Jens Jonsson,127,6.2,718
Snatch,2000,Comedy|Crime,Guy Ritchie,104,8.3,719
Snitch,2013,Action|Drama|Thriller,Ric Roman Waugh,112,6.4,720
Snuff Movie,2005,Horror,Bernard Rose,92,3.9,721
Social Network,2010,Biography|Drama,David Fincher,120,7.7,722
Sommaren Med Göran,2009,Comedy,Staffan Lindberg,97,5.3,723
Sopåkarna,1990,Action|Comedy|Crime,Emilio Estevez,98,6.0,724
Spanglish,2004,Comedy|Drama|Romance,James L. Brooks,131,6.4,725
Spiderman I,2002,Action|Adventure|Sci-Fi,Sam Raimi,121,7.3,726
Spiderman II,2004,Action|Adventure|Sci-Fi,Sam Raimi,127,7.3,727
Spiderman III,2007,Action|Adventure|Sci-Fi,Sam Raimi,139,6.2,728
The Amazing Spiderman I,2012,Action|Adventure|Sci-Fi,Marc Webb,136,6.9,729
The Amazing Spiderman II,2014,Action|Adventure|Sci-Fi,Marc Webb,142,6.6,730
Spionernas Bro,2015,Drama|History|Thriller,Steven Spielberg,142,7.6,731
Split Decisions,1988,Action|Drama|Sport,David Drury,95,5.2,732
Stand By Me,1986,Adventure|Drama,Rob Reinar,89,8.1,733
Starsky And Hutch,2004,Comedy|Crime,Todd Phillips,101,6.1,734
Step Brothers,2008,Comedy,Adam McKay,98,6.9,735
Storm Warning,2007,Horror|Thriller,Jamie Blanks,86,5.8,736
Stranded,2013,Horror|Sci-Fi,Roger Christian,84,3.5,737
Street Kings,2008,Action|Crime|Drama,David Ayer,109,6.8,738
Summer's Blood,2009,Horror|Thriller,Lee Demarbre,91,4.4,739
Sum Of All Fears,2002,Action|Drama|Thriller,Phil Alden Robinson,124,6.4,740
Supersugen,2007,Comedy,Greg Mottola,113,7.6,741
Surrogates,2009,Action|Sci-Fi|Thriller,Jonathan Mostow,89,6.3,742
Survival Of The Dead,2009,Comedy|Drama|Horror,George A. Romero,90,4.9,743
S.W.A.T,2003,Action|Adventure|Crime,Clark Johnson,117,6.0,744
Sweeney Todd,2007,Drama|Horror|Musical,Tim Burton,116,7.3,745
Sweet Home Alabama,2002,Comedy|Romance,Andy Tennant,108,6.2,746
Switch,2010,Comedy|Drama|Romance,Josh Gordon,101,6.1,747
Sällskapsresor – Sällskapsresan,1980,Comedy,Lasse Åberg,107,7.2,748
Sällskapsresor – Snowroller,1985,Comedy,Lasse Åberg,91,6.6,749
Sällskapsresor – S.O.S,1988,Comedy,Lasse Åberg,104,6.2,750
Sällskapsresor – Den Ofrivillige Golfaren,1991,Comedy,Lasse Åberg,107,5.7,751
Sällskapsresor – Hälsoresan,1999,Comedy,Lasse Åberg,105,4.2,752
Taken I,2008,Action|Thriller,Pierre Morel,90,7.8,753
Taken III,2014,Action|Thriller,Olivier Megaton,108,6.0,754
Taking Of Pelham 123,2009,Action|Crime|Thriller,Tony Scott,106,6.4,755
Talented Mr. Ripley,1999,Crime|Drama|Thriller,Anthony Minghella,139,7.4,756
Tali Ihantala 1944,2007,Drama|History|War,Åke Lindman,117,5.8,757
Tattooist,2007,Drama|Horror|Thriller,Peter Burger,92,5.1,758
Taxi II,2000,Action|Comedy|Crime,Gerard Krawcyk,88,6.5,759
Taxi III,2003,Action|Comedy|Crime,Gerard Krawcyk,84,5.8,760
Taxi Driver,1976,Crime|Drama,Martin Scorsese,114,8.3,761
Ted,2012,Comedy,Seth MacFarlane,106,6.9,762
Ted II,2015,Comedy,Seth MacFarlane,115,6.3,763
Terminalen,2004,Comedy|Drama|Romance,Steven Spielberg,128,7.4,764
Terminator I,1984,Action|Sci-Fi,James Cameron,107,8.0,765
Terminator II,1991,Action|Sci-Fi,James Cameron,137,8.5,766
Terminator III,2003,Action|Sci-Fi,Jonathan Mostow,109,6.3,767
Territory,2007,Action|Adventure|Drama,Greg McLean,99,6.2,768
Terror Train,1980,Horror|Mystery|Thriller,Roger Spottiswoode,97,5.9,769
There Will Be Blood,2007,Drama,Paul Thomas Anderson,158,8.2,770
There's Something About Mary,1998,Comedy|Romance,Bobby Farrelly,119,7.1,771
Thirteen Ghosts,2001,Horror|Thriller,Steve Beck,91,5.6,772
This Is 40,2012,Comedy|Romance,Judd Apatow,134,6.2,773
This Is The End,2013,Comedy,Evan Goldberg,107,6.6,774
Three Kings,1999,Action|Adventure|Comedy,David O. Russell,114,7.1,775
Three Musketeers,1993,Action|Adventure|Comedy,Stephen Herek,105,6.4,776
Tillbaka Till Framtiden II,1989,Adventure|Comedy|Sci-Fi,Robert Zemeckis,108,7.8,777
Titanic,1997,Drama|Romance,James Cameron,194,7.8,778
Tjenare Kungen,2005,Comedy|Drama|Music,Ulf Malmros,94,6.1,779
Tjuren Från Bronx,1980,Biography|Drama|Sport,Martin Scorsese,129,8.2,780
Tomb Raider,2001,Action|Adventure|Fantasy,Simon West,100,5.8,781
Tomie Replay,2000,Horror,Tomijiro Mitsuishi,95,5.4,782
Tomten Är Far Till Alla Barnen,1999,Comedy,Kjell Sundvall,95,6.8,783
Toolbox Murders 2005,2004,Horror|Mystery|Thriller,Tobe Hooper,95,5.3,784
Top Gun,1986,Action|Drama,Tony Scott,110,6.9,785
Torque,2004,Action|Comedy|Crime,Joseph Kahn,84,4.1,786
Total Recall,2012,Action|Adventure|Sci-Fi,Len Wiseman,118,6.3,787
Tower Heist,2011,Action|Comedy|Crime,Brett Ratner,104,6.2,788
Town,2010,Crime|Drama|Thriller,Ben Affleck,125,7.5,789
Traffic,2000,Crime|Drama|Thriller,Steven Soderbergh,147,7.6,790
Training Day,2001,Crime|Drama|Thriller,Antoine Fuqua,122,7.7,791
Trainspotting,1996,Drama,Danny Boyle,93,8.1,792
Transporter III,2008,Action|Adventure|Thriller,Olivier Megaton,104,6.1,793
Transporter Refueled,2015,Action|Adventure|Thriller,Camille Delamarre,96,5.2,794
Troja,2004,Drama|History,Wolfgang Petersen,163,7.2,795
Tropa De Elite,2007,Action|Crime|Drama,José Padilha,115,8.1,796
Tropic Thunder,2008,Action|Comedy|War,Ben Stiller,107,7.0,797
Trubbel I Paradiset,2009,Comedy,Peter Billingsley,113,5.5,798
True Grit,2010,Drama|Western,Ethan Coen,110,7.6,799
True Women,1997,Action|Adventure|Biography,Karen Arthur,183,6.8,800
Truman Show,1998,Comedy|Drama|Sci-Fi,Peter Weir,103,8.1,801
Truth About Charlie,2002,Mystery|Thriller,Jonathan Demme,104,4.7,802
Truth Or Dare,2018,Horror|Thriller,Jeff Wadlow,100,5.2,803
Tuxedo,2002,Action|Comedy|Sci-Fi,Kevin Donovan,98,5.4,804
Ugly Truth,2009,Comedy|Romance,Robert Luketic,96,6.4,805
Unbreakable,2000,Drama|Mystery|Sci-Fi,M. Night Shyamalan,106,7.3,806
Unleashed,2005,Action|Adventure|Crime,Louis Leterrier,103,7.0,807
Unnatural Causes,2008,Drama|Thriller,Robert Malenfant,93,4.3,808
Usual Suspects,1995,Crime|Mystery|Thriller,Bryan Singer,106,8.5,809
Valhalla Rising,2009,Adventure|Drama|Fantasy,Nicolas Winding Refn,93,6.1,810
Van Helsing,2004,Action|Adventure|Fantasy,Stephen Sommers,131,6.1,811
Varannan Vecka,2006,Comedy|Drama|Romance,Felix Herngren,97,5.5,812
Venom,2005,Horror,Jim Gillespie,87,4.6,813
V/H/S,2012,Horror|Thriller,David Bruckner,116,5.8,814
V/H/S II,2013,Horror|Thriller,Simon Barrett,96,6.0,815
View From The Top,2003,Comedy|Romance,Bruno Barreto,87,5.2,816
Village,2004,Drama|Mystery|Thriller,M. Night Shyamalan,108,6.5,817
Virginity Hit,2010,Comedy,Huck Botko,86,4.6,818
Världarnas Krig,2005,Adventure|Sci-Fi|Thriller,Steven Spielberg,116,6.5,819
Wag The Dog,1997,Comedy|Drama,Barry Levinson,97,7.2,820
Walk The Line,2005,Biography|Drama|Music,James Mangold,136,7.8,821
Wall Street,2010,Drama,Oliver Stone,133,6.2,822
Wallander – Cellisten,2010,Crime|Drama|Mystery,Stephan Apelgren,93,6.2,823
Wallander – Prästen,2010,Crime|Drama|Mystery,Henrik Georgsson,86,5.8,824
Wallander – Läckan,2010,Crime|Drama|Mystery,Henrik Georgsson,89,6.1,825
Wanderlust,2012,Comedy|Romance,David Wain,98,5.6,826
Warrior,2011,Drama|Sport,Gavin O'Connor,140,8.2,827
Watcher,2000,Crime|Drama|Mystery,Joe Charbanic,97,5.3,828
We Own The Night,2007,Crime|Drama|Thriller,James Gray,117,6.8,829
We Where Soldiers,2002,Action|Drama|History,Randall Wallace,138,7.2,830
Weather Man,2005,Comedy|Drama,Gore Verbinski,102,6.5,831
Wedding Crashers,2005,Comedy|Romance,David Dobkin,119,6.9,832
Werewolf,2012,Action|Fantasy|Horror,Louis Morneau,93,5.1,833
What Happens In Vegas,2008,Comedy|Romance,Tom Vaughan,99,6.1,834
What's Eating Gilbert Grape,1993,Drama,Lasse Hallström,118,7.8,835
When A Stranger Calls,2006,Horror|Thriller,Simon West,87,5.1,836
Whiplash,2014,Drama|Music,Damien Chazelle,106,8.5,837
White Collar Hooligan,2012,Crime,Paul Tanter,81,5.2,838
White Noise,2005,Drama|Horror|Mystery,Geoffrey Sax,94,5.5,839
White Vengeance,2011,Action|Drama|History,Daniel Lee,135,6.2,840
Wicked,2013,Fantasy|Horror|Thriller,Peter Winther,105,3.7,841
Wind Chill,2007,Drama|Horror|Thriller,Gregory Jacobs,91,5.8,842
Wishmaster,1997,Fantasy|Horror,Robert Kurtzman,90,5.8,843
Without A Paddle,2004,Adventure|Comedy|Mystery,Steven Brill,95,5.9,844
Wolf Creek,2005,Horror|Thriller,Greg McLean,99,6.2,845
Wolverine,2013,Action|Adventure|Sci-Fi,James Mangold,126,6.7,846
World Trade Center,2006,Drama|History|Thriller,Oliver Stone,129,5.9,847
World's Greatest Dad,2009,Comedy|Drama,Bobcat Goldthwait,99,6.9,848
X – Men,2000,Action|Adventure|Sci-Fi,Bryan Singer,104,7.4,849
Yes Man,2008,Comedy|Romance,Peyton Reed,104,6.8,850
You Me And Dupree,2006,Comedy|Romance,Anthony Russo,110,5.6,851
Young Guns,1988,Action|Western,Christopher Cain,107,6.9,852
Young Guns II,1990,Action|Western,Geoff Murphy,104,6.5,853
Youth In Revolt,2009,Comedy|Drama|Romance,Miguel Arteta,90,6.4,854
Zodiac,2007,Crime|Drama|Mystery,David Fincher,157,7.7,855
Zoolander,2001,Comedy,Ben Stiller,90,6.5,856
Änglagård Andra Sommaren,1994,Comedy|Drama,Colin Nutley,137,5.3,857
