Title,Year,Genre,Director,Duration,IMDB,ID
Boo,2005,Horror,Anthony C. Ferrante,94,4.2,163
Boogeyman,2005,Drama|Horror|Mystery,Stephen Kay,89,4.2,164
Book Of Eli,2010,Action|Adventure|Drama,Albert Hughes,118,6.9,165
Boondock Saints I,1999,Action|Crime|Thriller,Troy Duffy,108,7.8,166
Boondock Saints II,2009,Action|Crime|Thriller,Troy Duffy,118,6.3,167
Boulevard,2014,Drama,Dito Montiel,88,5.8,168
Bourne Identity,2002,Action|Mystery|Thriller,Doug Liman,119,7.9,169
Bourne Supremacy,2004,Action|Mystery|Thriller,Paul Grengrass,108,7.7,170
Bourne Ultimatum,2007,Action|Mystery|Thriller,Paul Grengrass,115,8.0,171
Bourne Legacy,2012,Action|Mystery|Thriller,Tony Gilroy,135,6.7,172
Boys And Girls,2000,Comedy|Drama|Romance,Robert Iscove,94,5.4,173
Boys Next Door,1985,Crime|Drama|Thriller,Penelope Spheeris,91,6.4,174
Braveheart,1995,Biography|Drama|History,Mel Gibson,178,8.3,175
Breaking And Entering,2006,Crime|Drama|Romance,Anthony Minghella,120,6.5,176
Bridesmaids,2011,Comedy|Romance,Paul Feig,125,6.8,177
Bridget Jones Dagbok,2001,Comedy|Drama|Romance,Sharon Maguire,97,6.7,178
Brokeback Mountain,2005,Drama|Romance,Ang Lee,134,7.7,179
Brüno,2009,Comedy,Larry Charles,81,5.8,180
Bröllopsduellen,2009,Comedy|Romance,Gary Winick,89,5.5,181
Bröllopsfotografen,2009,Comedy|Drama|Romance,Ulf Malmros,113,5.9,182
Bucket List,2007,Comedy|Drama,Rob Reinar,97,7.4,183
Bug,2006,Drama|Horror|Thriller,William Friedkin,102,6.1,184
Buried,2010,Drama|Mystery|Thriller,Rodrigo Cortés,95,7.0,185
Burma Conspiracy,2011,Action|Adventure|Thriller,Jerome Salle,114,6.2,186
Butterfly Effect,2004,Drama|Sci-Fi|Thriller,Eric Brees,113,7.6,187
Börnehjemmet,2007,Drama|Horror|Mystery,J.A Bayona,105,7.4,188
Cabin Fever II,2009,Horror,Ti west,86,4.3,189
Cabin In The Woods,2011,Horror,Drew Goddard,95,7.0,190
Cable Guy,1996,Comedy|Drama|Thriller,Ben Stiller,96,6.1,191
Campaign,2012,Comedy,Jay Roach,85,6.1,192
Cape Fear,1991,Crime|Thriller,Martin Scorsese,128,7.3,193
Captain Phillips,2013,Biography|Crime|Drama,Paul Grengrass,134,7.8,194
Cargo,2009,Mystery|Sci-Fi|Thriller,Ivan Engler,112,6.2,195
Carlito's Way,1993,Crime|Drama|Thriller,Brian De Palma,144,7.9,196
Casino,1995,Crime|Drama,Martin Scorsese,178,8.2,197
Casshern,2004,Action|Sci-Fi,Kazuaki Kirya,142,6.1,198
Cast Away,2000,Adventure|Drama|Romance,Robert Zemeckis,143,7.8,199
Cellmates,2011,Comedy|Drama,Jesse Baget,85,5.7,200
Central Intelligence,2016,Action|Comedy|Crime,Rawson Marshall Thurber,107,6.3,201
Chained,2012,Crime|Drama|Horror,Jennifer Lynch,94,6.4,202
Chair,2007,Drama|Horror|Thriller,Brett Sullivan,89,4.3,203
Change-Up,2011,Comedy|Fantasy,David Dobkin,112,6.3,204
Changeling,2008,Biography|Crime|Drama,Clint Eastwood,141,7.7,205
